event,event_name,type,type_label,bucket,total,high,alert,high_pct,alert_pct,avg_prob
E001,Bão Wutip,event,Sự kiện thật,overall,3200,103,892,3.2,27.9,25.5
E001,Bão Wutip,event,Sự kiện thật,day_1,3200,100,712,3.1,22.2,20.1
E001,Bão Wutip,event,Sự kiện thật,day_2,3200,5,267,0.2,8.3,15.0
E001,Bão Wutip,event,Sự kiện thật,day_3,3200,0,264,0.0,8.2,16.6
E001,Bão Wutip,neg_before,Control trước,overall,553,171,543,30.9,98.2,55.5
E001,Bão Wutip,neg_before,Control trước,day_1,553,55,185,9.9,33.5,32.7
E001,Bão Wutip,neg_before,Control trước,day_2,553,26,387,4.7,70.0,42.8
E001,Bão Wutip,neg_before,Control trước,day_3,553,96,543,17.4,98.2,50.6
E001,Bão Wutip,neg_after,Control sau,overall,553,0,553,0.0,100.0,50.5
E001,Bão Wutip,neg_after,Control sau,day_1,553,0,269,0.0,48.6,35.2
E001,Bão Wutip,neg_after,Control sau,day_2,553,0,478,0.0,86.4,44.0
E001,Bão Wutip,neg_after,Control sau,day_3,553,0,458,0.0,82.8,46.0
E001,Bão Wutip,neg_spatial,Control vùng khác,overall,2460,1486,1830,60.4,74.4,61.7
E001,Bão Wutip,neg_spatial,Control vùng khác,day_1,2460,1458,1813,59.3,73.7,60.8
E001,Bão Wutip,neg_spatial,Control vùng khác,day_2,2460,453,1351,18.4,54.9,41.5
E001,Bão Wutip,neg_spatial,Control vùng khác,day_3,2460,170,1184,6.9,48.1,35.8
E002,Bão Wipha,event,Sự kiện thật,overall,4540,242,1515,5.3,33.4,27.7
E002,Bão Wipha,event,Sự kiện thật,day_1,4540,230,1134,5.1,25.0,21.5
E002,Bão Wipha,event,Sự kiện thật,day_2,4540,12,524,0.3,11.5,15.8
E002,Bão Wipha,event,Sự kiện thật,day_3,4540,9,697,0.2,15.4,19.8
E002,Bão Wipha,neg_before,Control trước,overall,1007,240,840,23.8,83.4,48.6
E002,Bão Wipha,neg_before,Control trước,day_1,1007,224,840,22.2,83.4,46.6
E002,Bão Wipha,neg_before,Control trước,day_2,1007,57,573,5.7,56.9,41.3
E002,Bão Wipha,neg_before,Control trước,day_3,1007,61,432,6.1,42.9,32.4
E002,Bão Wipha,neg_after,Control sau,overall,1007,444,1007,44.1,100.0,60.4
E002,Bão Wipha,neg_after,Control sau,day_1,1007,440,972,43.7,96.5,58.7
E002,Bão Wipha,neg_after,Control sau,day_2,1007,0,594,0.0,59.0,36.6
E002,Bão Wipha,neg_after,Control sau,day_3,1007,16,754,1.6,74.9,42.3
E002,Bão Wipha,neg_spatial,Control vùng khác,overall,1860,800,1699,43.0,91.3,60.3
E002,Bão Wipha,neg_spatial,Control vùng khác,day_1,1860,587,1514,31.6,81.4,54.9
E002,Bão Wipha,neg_spatial,Control vùng khác,day_2,1860,238,1329,12.8,71.5,42.8
E002,Bão Wipha,neg_spatial,Control vùng khác,day_3,1860,283,1535,15.2,82.5,48.7
E003,Bão Kajiki,event,Sự kiện thật,overall,7424,3001,6859,40.4,92.4,58.8
E003,Bão Kajiki,event,Sự kiện thật,day_1,7424,2682,6252,36.1,84.2,55.4
E003,Bão Kajiki,event,Sự kiện thật,day_2,7424,809,4412,10.9,59.4,40.8
E003,Bão Kajiki,event,Sự kiện thật,day_3,7424,378,2764,5.1,37.2,32.0
E003,Bão Kajiki,neg_before,Control trước,overall,1856,678,1852,36.5,99.8,61.0
E003,Bão Kajiki,neg_before,Control trước,day_1,1856,610,1787,32.9,96.3,56.5
E003,Bão Kajiki,neg_before,Control trước,day_2,1856,114,1430,6.1,77.0,47.0
E003,Bão Kajiki,neg_before,Control trước,day_3,1856,158,1832,8.5,98.7,55.8
E003,Bão Kajiki,neg_after,Control sau,overall,1856,512,1852,27.6,99.8,57.4
E003,Bão Kajiki,neg_after,Control sau,day_1,1856,232,1512,12.5,81.5,47.2
E003,Bão Kajiki,neg_after,Control sau,day_2,1856,107,1587,5.8,85.5,43.1
E003,Bão Kajiki,neg_after,Control sau,day_3,1856,214,1628,11.5,87.7,50.9
E003,Bão Kajiki,neg_spatial,Control vùng khác,overall,1968,704,1728,35.8,87.8,56.3
E003,Bão Kajiki,neg_spatial,Control vùng khác,day_1,1968,449,1471,22.8,74.7,49.8
E003,Bão Kajiki,neg_spatial,Control vùng khác,day_2,1968,115,1015,5.8,51.6,37.4
E003,Bão Kajiki,neg_spatial,Control vùng khác,day_3,1968,195,915,9.9,46.5,36.0
E004,Bão Bualoi,event,Sự kiện thật,overall,6396,2391,4822,37.4,75.4,53.2
E004,Bão Bualoi,event,Sự kiện thật,day_1,6396,2309,4606,36.1,72.0,50.2
E004,Bão Bualoi,event,Sự kiện thật,day_2,6396,1290,3774,20.2,59.0,40.6
